id,title,year,rated,released,runtime,plot,language,country,awards,metascore,imdb_rating,imdb_votes,tomato_meter,tomato_rating,tomato_consensus,wiki_title,imdb_id,rt_title,created,updated
46,"17 Again",2009,PG-13,"17 Apr 2009","102 min",,,USA,"3 wins & 4 nominations.",48,6.4,"107,670",55,5.4,"Though it uses a well-worn formula, 17 Again has just enough Zac Efron charm to result in a harmless, pleasurable teen comedy.","17 Again (film)",tt0974661,1201402-17_again,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:12 +0100"
47,1900,1976,R,"04 Nov 1977","317 min",,,"Italy, France, West Germany","3 wins & 3 nominations.",N/A,7.8,"14,824",47,5.9,N/A,"1900 (film)",tt0074084,1000039-1900,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:13 +0100"
48,1941,1979,PG,"14 Dec 1979","118 min",,,USA,N/A,N/A,5.9,"21,024",32,5.1,N/A,"1941 (film)",tt0078723,1941,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:13 +0100"
49,"1968 Tunnel Rats",2008,R,"13 Mar 2009","96 min",,,"Canada, Germany","1 win.",N/A,4.6,"3,741",N/A,N/A,N/A,"1968 Tunnel Rats",tt0970462,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:13 +0100"
50,1984,1956,N/A,"01 Sep 1956","90 min",,,UK,N/A,N/A,7.0,"1,642",N/A,N/A,N/A,"1984 (1956 film)",tt0048918,1209731-1984,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:14 +0100"
51,"1990: The Bronx Warriors",1982,R,"01 Apr 1983","89 min",,,Italy,N/A,N/A,5.2,"1,424",37,N/A,N/A,"1990: The Bronx Warriors",tt0085124,1990_bronx_warriors,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:14 +0100"
52,"1991: The Year Punk Broke",1992,N/A,"20 Nov 1992","99 min",,,USA,N/A,N/A,7.5,768,88,N/A,N/A,"1991: The Year Punk Broke",tt0103595,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:14 +0100"
53,"20,000 Leagues Under the Sea",1916,N/A,"24 Dec 1916","105 min",,,USA,N/A,N/A,7.2,977,N/A,N/A,N/A,"20,000 Leagues Under the Sea (1916 film)",tt0006333,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:15 +0100"
54,"20000 Leagues Under the Sea",1954,Approved,"23 Dec 1954","127 min",,,USA,"Won 2 Oscars. Another 1 win & 2 nominations.",N/A,7.2,"18,114",89,7.7,"One of Disney's finest live-action adventures, 20,000 Leagues Under the Sea brings Jules Verne's classic sci-fi tale to vivid life, and features an awesome giant squid.","20,000 Leagues Under the Sea (1954 film)",tt0046672,1000079-20000_leagues_under_the_sea,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:15 +0100"
55,"20,000 Leagues Under the Sea",1997,N/A,"23 Mar 1997","95 min",,,USA,"3 nominations.",N/A,5.0,613,N/A,N/A,N/A,"20,000 Leagues Under the Sea (1997 Hallmark film)",tt0118247,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:15 +0100"
56,"20,000 Years in Sing Sing",1932,Unrated,"24 Dec 1932","78 min",,,USA,N/A,N/A,7.1,"1,362",57,N/A,N/A,"20,000 Years in Sing Sing",tt0023731,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:15 +0100"
57,"20,000 Leagues Under the Sea",1907,N/A,N/A,"10 min",,,France,N/A,N/A,6.0,128,N/A,N/A,N/A,"20,000 lieues sous les mers (film)",tt0000575,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:16 +0100"
58,"2010: The Odyssey Continues",1984,TV-G,N/A,"18 min",,,USA,N/A,N/A,6.2,284,N/A,N/A,N/A,"2001: A Space Odyssey (film)",tt0235153,1000085-2001_a_space_odyssey,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:16 +0100"
59,"2001 Maniacs",2005,R,"13 Jul 2006","87 min",,,USA,"1 nomination.",N/A,5.4,"9,202",N/A,N/A,N/A,"2001 Maniacs",tt0264323,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:16 +0100"
60,"2009: Lost Memories",2002,R,"01 Feb 2002","136 min",,,"South Korea","5 wins & 2 nominations.",40,6.2,"2,764",33,4.5,N/A,"2009 Lost Memories",tt0294252,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:17 +0100"
