id,title,year,rated,released,runtime,plot,language,country,awards,metascore,imdb_rating,imdb_votes,tomato_meter,tomato_rating,tomato_consensus,wiki_title,imdb_id,rt_title,created,updated
11819,Protocol,1984,PG,"21 Dec 1984","96 min",,,USA,N/A,N/A,5.3,"2,854",14,4.3,N/A,"Protocol (film)",tt0087951,protocol,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:22 +0100"
11820,Providence,1977,R,"09 Feb 1977","104 min",,,"France, Switzerland, UK","12 wins & 1 nomination.",N/A,7.8,"1,706",88,8.1,N/A,"Providence (1977 film)",tt0076574,providence,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:23 +0100"
11821,"Prozac Nation",2001,R,"13 Jun 2003","95 min",,,"Germany, USA, Canada",N/A,N/A,6.3,"11,508",29,4.6,N/A,"Prozac Nation (film)",tt0236640,prozac-nation,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:24 +0100"
11822,Psycho,1960,TV-14,"08 Sep 1960","109 min",,,USA,"Nominated for 4 Oscars. Another 6 wins & 5 nominations.",N/A,8.6,"300,732",96,9.0,"Infamous for its shower scene, but immortal for its contribution to the horror genre. Because Psycho was filmed with tact, grace, and art, Hitchcock didn't just create modern horror, he validated it.","Psycho (1960 film)",tt0054215,psycho,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:25 +0100"
11823,Psycho,1998,R,"04 Dec 1998","105 min",,,USA,"3 wins & 3 nominations.",47,4.6,"33,072",37,5.2,"Van Sant's pointless remake neither improves or illuminates Hitchcock's original.","Psycho (1998 film)",tt0155975,1084964-psycho,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:26 +0100"
11824,"Psycho III",1986,R,"02 Jul 1986","93 min",,,USA,"2 nominations.",N/A,5.2,"7,363",58,5.2,N/A,"Psycho III",tt0091799,psycho_3,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:26 +0100"
11825,"Psycho II",1983,R,"03 Jun 1983","113 min",,,USA,"2 nominations.",N/A,6.3,"13,690",59,5.3,N/A,"Psycho II (film)",tt0086154,psycho_2,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:28 +0100"
11826,"Public Access",1993,R,"01 Jan 1993","90 min",,,USA,"2 wins.",N/A,5.4,669,50,5.4,N/A,"Public Access",tt0107895,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:28 +0100"
11827,"Public Enemies",2009,R,"01 Jul 2009","140 min",,,USA,"1 win & 10 nominations.",70,7.0,"182,722",68,6.4,"Michael Mann's latest is a competent and technically impressive gangster flick with charismatic lead performances, but some may find the film lacks truly compelling drama.","Public Enemies (2009 film)",tt1152836,10009526-public_enemies,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:31 +0100"
11828,"Puddle Cruiser",1996,R,N/A,"102 min",,,USA,"1 win.",N/A,5.8,"1,921",N/A,N/A,N/A,"Puddle Cruiser",tt0144557,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:32 +0100"
11829,"Puff, Puff, Pass",2006,R,"09 May 2006","95 min",,,USA,N/A,N/A,5.6,"2,821",N/A,N/A,N/A,"Puff, Puff, Pass",tt0466771,puff_puff_pass,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:33 +0100"
11830,Pulp,1972,PG,"01 Nov 1972","95 min",,,UK,N/A,N/A,6.1,"1,388",67,6.0,N/A,"Pulp (1972 film)",tt0069134,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:36 +0100"
11831,"Pulp Fiction",1994,R,"14 Oct 1994","154 min",,,USA,"Won 1 Oscar. Another 62 wins & 46 nominations.",94,9.0,"921,587",94,9.0,"One of the most influential films of the 1990s, Pulp Fiction is a delirious post-modern mix of neo-noir thrills, pitch-black humor, and pop-culture touchstones.","Pulp Fiction",tt0110912,pulp_fiction,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:36 +0100"
11832,Pulse,1988,PG-13,"04 Mar 1988","95 min",,,USA,N/A,N/A,5.4,"1,355",58,5.7,N/A,"Pulse (1988 film)",tt0095924,1016897-pulse,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:37 +0100"
11833,"Pink Floyd: P. U. L. S. E. Live at Earls Court",1994,N/A,"02 Aug 1995","145 min",,,UK,N/A,N/A,9.2,"2,619",N/A,N/A,N/A,"Pulse (1995 film)",tt0110758,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:39 +0100"
11834,Pulse,2001,R,"09 Nov 2005","118 min",,,Japan,"2 wins & 2 nominations.",70,6.7,"9,404",73,6.8,"A sinister spine-tingling techno-thriller whose artistry lies in the power of suggestion rather than a barrage of blood and guts or horror shop special effects.","Pulse (2001 film)",tt0286751,1113170-pulse,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:40 +0100"
11835,Pulse,2006,PG-13,"11 Aug 2006","90 min",,,USA,"1 nomination.",27,4.7,"22,263",10,3.5,"Another stale American remake of a successful Japanese horror film, Pulse bypasses the emotional substance of the original and overcompensates with pumped-up visuals and every known horror cliche.","Pulse (2006 film)",tt0454919,1156273-pulse,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:42 +0100"
11836,"Pump Up the Volume",1990,R,"22 Aug 1990","102 min",,,"Canada, USA","2 wins & 5 nominations.",77,7.1,"17,896",78,6.6,N/A,"Pump Up the Volume (film)",tt0100436,pump_up_the_volume,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:43 +0100"
11837,"Pumping Iron",1977,PG,"31 Mar 1978","85 min",,,USA,"1 win.",N/A,7.5,"10,093",96,7.3,"In addition to offering an enlightening early look into the world of future star/politician Arnold Schwarzenegger, Pumping Iron provides a witty and insightful overview of competitive bodybuilding.","Pumping Iron",tt0076578,pumping_iron,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:44 +0100"
11838,Pumpkin,2002,R,"12 Mar 2004","113 min",,,USA,"2 nominations.",46,6.3,"6,821",38,4.9,"The messy Pumpkin wastes its premise by not making the satire sharp enough.","Pumpkin (film)",tt0265591,pumpkin,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:47 +0100"
11839,Pumpkinhead,1988,R,"13 Jan 1989","86 min",,,USA,"3 nominations.",N/A,6.2,"10,749",56,5.3,N/A,"Pumpkinhead (film)",tt0095925,pumpkinhead,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:48 +0100"
11840,"Punch-Drunk Love",2002,R,"01 Nov 2002","95 min",,,USA,"Nominated for 1 Golden Globe. Another 16 wins & 23 nominations.",78,7.3,"86,161",79,7.4,"Odd, touching, and unique, Punch-Drunk Love is also delightfully funny, utilizing Adam Sandler's comic persona to explore the life of a lonely guy who finds love.","Punch-Drunk Love",tt0272338,punchdrunk_love,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:51 +0100"
11841,Punchline,1988,R,"07 Oct 1988","128 min",,,USA,"1 win.",N/A,5.8,"5,634",50,5.4,N/A,"Punchline (film)",tt0095927,punchline,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:52 +0100"
11842,"Soldier of Fortune",1926,N/A,"18 Dec 1926",N/A,,,N/A,N/A,N/A,5.3,5,N/A,N/A,N/A,Punguna,tt0323740,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:53 +0100"
11843,"Punisher: War Zone",2008,R,"05 Dec 2008","103 min",,,"USA, Canada, Germany","1 win & 1 nomination.",30,6.0,"38,476",27,4.2,"Punisher: War Zone recalls the excessively violent, dialogue-challenged actioners of the 1980s, and coincidentally feels two decades out of date.","Punisher: War Zone",tt0450314,punisher_war_zone,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:54 +0100"
11844,"Punishment Park",1971,R,N/A,"88 min",,,USA,N/A,N/A,8.0,"3,821",100,7.1,N/A,"Punishment Park",tt0067633,punishment_park,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:55 +0100"
11845,"Punk Rock Holocaust",,,,,,,,,,,,,,,,,,"2014-05-11 19:37:12 2014 +0100",
11846,"Puppet Master: The Legacy",2003,"Not Rated","16 Dec 2003","80 min",,,USA,N/A,N/A,3.5,640,N/A,N/A,N/A,"Puppet Master: The Legacy",tt0390393,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:30:58 +0100"
11847,Puppetmaster,1989,R,"11 Jan 1990","90 min",,,USA,"1 nomination.",N/A,5.6,"5,222",33,3.4,N/A,"Puppet Master (film)",tt0098143,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:00 +0100"
11848,"Puppet Master 4",1993,R,"22 Sep 1995","79 min",,,USA,N/A,N/A,5.1,"1,425",0,3.6,N/A,"Puppet Master 4",tt0107899,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:01 +0100"
11849,"Puppet Master 5: The Final Chapter",1994,R,"22 Sep 1995","82 min",,,USA,N/A,N/A,5.0,"1,163",N/A,N/A,N/A,"Puppet Master 5: The Final Chapter",tt0110916,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:05 +0100"
11850,"Puppet Master II",1991,R,"27 Feb 1991","88 min",,,USA,"1 nomination.",N/A,5.4,"2,377",33,4.4,N/A,"Puppet Master II",tt0100438,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:05 +0100"
11851,"Puppet Master III: Toulon's Revenge",1991,R,"01 May 1992","86 min",,,USA,N/A,N/A,6.0,"2,078",N/A,N/A,N/A,"Puppet Master III: Toulon's Revenge",tt0102728,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:08 +0100"
11852,Pure,2002,R,"02 May 2003","96 min",,,UK,"3 wins.",70,7.0,"1,921",N/A,N/A,N/A,"Pure (UK film)",tt0308772,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:09 +0100"
11853,"Purple Butterfly",2003,R,"17 Sep 2004","127 min",,,"China, France","1 nomination.",68,5.9,841,45,5.5,"Ye Lou's Purple Butterfly is atmospheric and moody, but the story is frustratingly muddled.","Purple Butterfly",tt0363290,purple_butterfly,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:10 +0100"
11854,"Purple Noon",1960,PG-13,"10 Mar 1960","118 min",,,"France, Italy","1 win.",N/A,7.8,"6,719",100,8.2,N/A,"Purple Noon",tt0054189,purple-noon,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:11 +0100"
11855,"Purple Rain",1984,R,"27 Jul 1984","111 min",,,USA,"Won 1 Oscar. Another 4 wins & 4 nominations.",45,6.3,"9,979",74,6.4,N/A,"Purple Rain (film)",tt0087957,purple_rain,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:14 +0100"
11856,"Purple Sunset",2001,N/A,N/A,"106 min",,,China,"5 wins.",N/A,7.4,196,33,N/A,N/A,"Purple Sunset",tt0303260,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:17 +0100"
11857,Pursued,1947,Approved,"02 Mar 1947","101 min",,,USA,N/A,N/A,7.4,"1,643",100,7.3,N/A,"Pursued (1947 film)",tt0039737,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:19 +0100"
11858,"Pursuit to Algiers",1945,Approved,"26 Oct 1945","65 min",,,USA,N/A,N/A,7.2,"1,947",N/A,N/A,N/A,"Pursuit to Algiers",tt0038008,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:19 +0100"
11859,Push,2009,PG-13,"06 Feb 2009","111 min",,,"USA, Canada","1 win & 2 nominations.",36,6.1,"75,584",23,4.2,"The sci-fi thriller Push is visually flashy but hyperkinetic and convoluted.","Push (2009 film)",tt0465580,10010066-push,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:20 +0100"
11860,Pusher,1996,"Not Rated","30 Aug 1996","110 min",,,Denmark,"1 win.",72,7.4,"19,715",N/A,N/A,N/A,"Pusher (1996 film)",tt0117407,Pusher,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:22 +0100"
11861,Pusher,2012,R,"12 Oct 2012","89 min",,,UK,"2 nominations.",52,5.5,"2,884",50,5.5,N/A,"Pusher (2012 film)",tt1921070,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:24 +0100"
11862,"With Blood on My Hands: Pusher II",2004,"Not Rated","25 Dec 2004","100 min",,,"Denmark, UK","3 wins & 15 nominations.",78,7.3,"9,318",100,7.3,N/A,"Pusher II",tt0396184,10005910-pusher_2,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:26 +0100"
11863,"I'm the Angel of Death: Pusher III",2005,"Not Rated","02 Sep 2005","90 min",,,Denmark,N/A,72,7.3,"6,453",92,7.6,N/A,"Pusher III",tt0425379,10005881-pusher_3,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:29 +0100"
11864,"Pushing Hands",1992,N/A,"20 Jan 1996","105 min",,,Taiwan,"2 wins & 3 nominations.",N/A,7.3,"1,949",N/A,N/A,N/A,"Pushing Hands (film)",tt0105652,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:30 +0100"
11865,"Pushing Tin",1999,R,"23 Apr 1999","124 min",,,"USA, Germany","2 nominations.",47,6.0,"22,455",48,5.5,"Solid performances by the leads, but the generic ending needs help.","Pushing Tin",tt0120797,pushing_tin,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:32 +0100"
11866,"Pushpaka Vimana (film)",,,,,,,,,,,,,,,"Pushpaka Vimana (film)",,,"2014-05-11 19:37:12 2014 +0100",
11867,"Puss in Boots",2011,PG,"28 Oct 2011","90 min",,,USA,"Nominated for 1 Oscar. Another 4 wins & 28 nominations.",65,6.7,"87,467",84,6.8,"It isn't deep or groundbreaking, but what it lacks in profundity, Puss in Boots more than makes up for with an abundance of wit, visual sparkle, and effervescent charm.","Puss in Boots (2011 film)",tt0448694,1209933-puss_in_boots,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:33 +0100"
11868,"Putney Swope",1969,R,"10 Jul 1969","84 min",,,USA,N/A,N/A,6.8,"1,502",64,5.6,N/A,"Putney Swope",tt0064855,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:39 +0100"
11869,"Puttin' on the Ritz",1930,N/A,"01 Mar 1930","88 min",,,USA,N/A,N/A,6.0,82,N/A,N/A,N/A,"Puttin' on the Ritz (film)",tt0021276,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:43 +0100"
11870,Pyaasa,1957,N/A,"19 Feb 1957","146 min",,,India,N/A,N/A,8.2,"2,363",N/A,N/A,N/A,"Pyaasa (1957 film)",tt0050870,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:46 +0100"
11871,Pygmalion,1938,"Not Rated","03 Mar 1939","89 min",,,UK,"Won 1 Oscar. Another 1 win & 4 nominations.",N/A,8.0,"4,967",94,8.2,N/A,"Pygmalion (1938 film)",tt0030637,1016943,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:46 +0100"
11872,"Pyongyang nalpharam",2006,N/A,N/A,"103 min",,,"North Korea",N/A,N/A,5.8,10,N/A,N/A,N/A,"Pyongyang Nalpharam",tt1708434,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:49 +0100"
11873,"Pépé le Moko",1937,"Not Rated","03 Mar 1941","94 min",,,France,"2 wins.",98,7.7,"3,833",100,8.6,N/A,"Pépé le Moko",tt0029453,pepe-le-moko,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:51 +0100"
11874,"The Temptation of St. Tony",2009,N/A,"10 Oct 2009","110 min",,,"Estonia, Finland, Sweden","1 win & 3 nominations.",N/A,7.3,776,89,7.8,N/A,"Püha Tõnu kiusamine",tt1247696,the-temptation-of-st-tony,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:53 +0100"
11875,"Retro Puppet Master",1999,PG-13,"01 Nov 2005","80 min",,,USA,N/A,N/A,4.0,"1,056",N/A,N/A,N/A,"Retro Puppet Master",tt0189047,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:56 +0100"
11876,"The Pool",2001,R,"04 Oct 2001","89 min",,,Germany,N/A,N/A,4.1,"2,003",36,5.2,N/A,"Swimming Pool (2001 film)",tt0283027,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:31:58 +0100"
11877,"The Pacifier",2005,PG,"04 Mar 2005","95 min",,,"Canada, USA","1 win & 4 nominations.",30,5.5,"50,148",20,3.7,"Vin Diesel parodies his tough guy image for the family audience, but the result is only moderately amusing.","The Pacifier",tt0395699,pacifier,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:01 +0100"
11878,"The Package",1989,R,"25 Aug 1989","108 min",,,USA,N/A,N/A,6.4,"5,107",64,5.3,N/A,"The Package (1989 film)",tt0098051,package,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:02 +0100"
11879,"The Pact",2012,R,"08 Jun 2012","89 min",,,USA,"1 nomination.",54,5.8,"12,965",67,5.7,N/A,"The Pact (2012 film)",tt2040560,the_pact_2012,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:02 +0100"
11880,"The Page Turner",2006,N/A,"09 Aug 2006","85 min",,,France,"5 nominations.",67,7.1,"5,491",78,6.9,"Reminiscent of Hitchcock and Chabrol, The Page Turner is elegant yet suspenseful, a revenge potboiler of a high degree.","The Page Turner",tt0487503,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:04 +0100"
11881,"The Pagemaster",1994,G,"23 Nov 1994","80 min",,,USA,"4 nominations.",N/A,5.8,"12,123",18,4.5,N/A,"The Pagemaster",tt0110763,pagemaster,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:06 +0100"
11882,"The Painted Desert",1931,N/A,"07 Mar 1931","79 min",,,USA,N/A,N/A,5.4,350,45,N/A,N/A,"The Painted Desert",tt0022243,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:10 +0100"
11883,"The Painted Veil",1934,N/A,"23 Nov 1934","85 min",,,USA,N/A,N/A,6.7,759,N/A,N/A,N/A,"The Painted Veil (1934 film)",tt0025617,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:12 +0100"
11884,"The Painted Veil",2006,PG-13,"19 Jan 2007","125 min",,,"China, USA, Canada","Won 1 Golden Globe. Another 7 wins & 3 nominations.",69,7.5,"65,394",74,7.1,"Visually, The Painted Veil has all the trappings of a stuffy period drama, but Norton's and Watts's deft portrayals of imperfect, complicated characters give the film a modern-day spark.","The Painted Veil (2006 film)",tt0446755,painted_veil,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:13 +0100"
11885,"The Pajama Game",1957,Approved,"10 Dec 1957","101 min",,,USA,"1 win & 2 nominations.",N/A,6.9,"2,012",90,7.4,N/A,"The Pajama Game (film)",tt0050814,pajama_game,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:15 +0100"
11886,"The Paleface",1922,N/A,"01 Jan 1922","20 min",,,USA,N/A,N/A,7.0,"1,563",40,N/A,N/A,"The Paleface (1922 film)",tt0012543,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:19 +0100"
11887,"The Paleface",1948,N/A,"24 Dec 1948","91 min",,,USA,"Won 1 Oscar. Another 2 nominations.",N/A,7.0,"2,276",100,6.8,N/A,"The Paleface (1948 film)",tt0040679,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:19 +0100"
11888,"The Pallbearer",1996,PG-13,"03 May 1996","98 min",,,USA,N/A,N/A,4.9,"5,547",42,5.1,N/A,"The Pallbearer",tt0117283,pallbearer,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:20 +0100"
11889,"The Palm Beach Story",1942,N/A,"07 Nov 1942","88 min",,,USA,N/A,N/A,7.9,"6,839",100,8.6,N/A,"The Palm Beach Story",tt0035169,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:21 +0100"
11890,"The Panic in Needle Park",1971,R,"01 Jun 1971","110 min",,,USA,"1 win & 1 nomination.",N/A,7.1,"8,840",70,6.7,N/A,"The Panic in Needle Park",tt0067549,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:22 +0100"
11891,"The Paper",1994,R,"18 Mar 1994","112 min",,,USA,N/A,N/A,6.5,"8,999",88,6.8,"Fast and frenetic, The Paper captures the energy of the newsroom thanks to its cast and director on first-rate form.","The Paper",tt0110771,paper,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:23 +0100"
11892,"The Paper Chase",1973,PG,"16 Oct 1973","113 min",,,USA,"Won 1 Oscar. Another 3 wins & 3 nominations.",N/A,7.2,"4,666",88,7.3,N/A,"The Paper Chase (film)",tt0070509,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:24 +0100"
11893,"The Paper Boy",1994,N/A,"16 Nov 1994","97 min",,,Canada,N/A,N/A,3.8,763,17,N/A,N/A,"The Paperboy (1994 film)",tt0110770,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:26 +0100"
11894,"The Paperboy",2012,R,"17 Oct 2012","107 min",,,USA,"Nominated for 1 Golden Globe. Another 3 wins & 6 nominations.",45,5.8,"20,859",43,5.1,"Trashy and melodramatic, The Paperboy is enlivened by a strong cast and a steamy, sordid plot, but it's uneven and often veers into camp.","The Paperboy (2012 film)",tt1496422,the_paperboy_2012,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:27 +0100"
11895,"The Paradine Case",1947,Approved,"26 Aug 1949","125 min",,,USA,N/A,N/A,6.6,"6,267",75,6.2,N/A,"The Paradine Case",tt0039694,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:28 +0100"
11896,,,,,,,,,,,,,,,,"The Parallax View",tt71970,parallax_view,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:30 +0100"
11897,"The Parent Trap",1961,TV-G,"21 Jun 1961","129 min",,,USA,"Nominated for 2 Oscars. Another 3 wins & 5 nominations.",N/A,7.1,"11,152",88,6.7,N/A,"The Parent Trap (1961 film)",tt0055277,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:30 +0100"
11898,"The Parent Trap",1998,PG,"29 Jul 1998","127 min",,,USA,"1 win & 4 nominations.",64,6.3,"58,950",86,6.8,"Writer-director Nancy Meyers takes the winning formula of the 1961 original and gives it an amiable modern spin, while young star Lindsay Lohan shines in her breakout role.","The Parent Trap (1998 film)",tt0120783,1083414-parent_trap,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:31 +0100"
11899,"Chow lok yuen",2003,R,"23 Oct 2003","91 min",,,"Hong Kong, Thailand",N/A,N/A,3.2,261,N/A,N/A,N/A,"The Park (2003 film)",tt0385598,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:33 +0100"
11900,"The Park",2007,N/A,"05 Apr 2008","96 min",,,China,"1 win & 1 nomination.",N/A,7.0,30,N/A,N/A,N/A,"The Park (2007 film)",tt1071291,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:36 +0100"
11901,"The Parole Officer",2001,R,"10 Aug 2001","93 min",,,UK,"2 nominations.",N/A,6.4,"4,724",75,N/A,N/A,"The Parole Officer",tt0283534,parole_officer,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:39 +0100"
11902,"The Party",1968,PG,"04 Apr 1968","99 min",,,USA,N/A,N/A,7.6,"24,855",82,6.5,N/A,"The Party (film)",tt0063415,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:41 +0100"
11903,"The Passenger",1975,PG-13,"09 Apr 1975","126 min",,,"Italy, Spain, France","4 wins & 1 nomination.",90,7.7,"11,984",91,8.1,"Antonioni's classic, a tale of lonely, estranged characters on a journey though the mysterious landscapes of identity, shimmers with beauty and uncertainty.","The Passenger (1975 film)",tt0073580,the-passenger-professione-reporter,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:43 +0100"
11904,"The Passion of Anna",1969,R,"28 May 1970","101 min",,,Sweden,"8 wins.",N/A,7.8,"4,439",100,8.2,N/A,"The Passion of Anna",tt0064793,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:44 +0100"
11905,"The Passion of Joan of Arc",1928,"Not Rated","25 Oct 1928","114 min",,,France,N/A,N/A,8.3,"19,928",97,9.0,N/A,"The Passion of Joan of Arc",tt0019254,passion_of_joan_of_arc,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:45 +0100"
11906,"The Passion of the Christ",2004,R,"25 Feb 2004","127 min",,,USA,"Nominated for 3 Oscars. Another 22 wins & 10 nominations.",47,7.1,"153,823",49,5.9,"The graphic details of Jesus' torture make the movie tough to sit through and obscure whatever message it is trying to convey.","The Passion of the Christ",tt0335345,passion_of_the_christ,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:47 +0100"
11907,"The Password Is Courage",1962,Approved,"21 Dec 1962","116 min",,,UK,N/A,N/A,6.7,623,16,N/A,N/A,"The Password is Courage",tt0056335,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:51 +0100"
11908,"The Past-Master",1970,N/A,N/A,"65 min",,,Bulgaria,N/A,N/A,8.2,90,N/A,N/A,N/A,"The Past-Master (film)",tt0833583,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:53 +0100"
11909,"The Patent Leather Kid",1927,N/A,"01 Sep 1927","150 min",,,USA,N/A,N/A,8.2,344,33,N/A,N/A,"The Patent Leather Kid",tt0018253,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:55 +0100"
11910,"The Patriot",1928,N/A,"01 Sep 1928","113 min",,,USA,"Won 1 Oscar. Another 4 nominations.",N/A,7.4,67,N/A,N/A,N/A,"The Patriot (1928 film)",tt0019257,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:32:58 +0100"
11911,"The Patriot",1998,R,"10 Jul 1998","90 min",,,USA,N/A,N/A,4.0,"8,733",22,2.1,N/A,"The Patriot (1998 film)",tt0120786,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:33:00 +0100"
11912,"The Patriot",2000,R,"28 Jun 2000","165 min",,,"Germany, USA","Nominated for 3 Oscars. Another 8 wins & 17 nominations.",63,7.1,"165,066",62,6.1,"The Patriot can be entertaining to watch, but it relies too much on formula and melodrama.","The Patriot (2000 film)",tt0187393,1098149-patriot,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:33:02 +0100"
11913,"The Patsy",1928,"Not Rated","22 Apr 1928","78 min",,,USA,N/A,N/A,8.2,"1,711",16,N/A,N/A,"The Patsy (1928 film)",tt0019258,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:33:04 +0100"
11914,"The Patsy",1964,N/A,"12 Aug 1964","101 min",,,USA,N/A,N/A,6.2,"1,044",80,6.2,N/A,"The Patsy (1964 film)",tt0058456,patsy,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:33:06 +0100"
11915,"The Pawnshop",1916,TV-G,"02 Oct 1916","25 min",,,USA,N/A,N/A,7.1,"1,659",71,N/A,N/A,"The Pawnshop",tt0007162,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:33:08 +0100"
11916,"The Peacemaker",1997,R,"26 Sep 1997","124 min",,,USA,"2 nominations.",43,5.9,"40,349",41,5.9,N/A,"The Peacemaker (1997 film)",tt0119874,1079516-peacemaker,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:33:08 +0100"
11917,"The Peanut Butter Solution",1985,PG,"06 Dec 1985","94 min",,,Canada,"2 nominations.",N/A,6.5,"1,163",24,N/A,N/A,"The Peanut Butter Solution",tt0089789,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 06:33:11 +0100"
